,0
今天,-219.64045442722318
继续,-76.86655709392653
大盘,-266.5625140288066
明天,-157.5465657384966
指数,-235.2766875191287
股市,-332.9793577834387
A,-236.74767121526725
股票,-231.00305655564102
个股,-319.2111681276622
中国,-16.088045363234414
市场,-115.84614656206134
行情,-151.7860964528486
资金,-197.70975609013317
现在,-319.3135747367455
说,-295.8641066622787
券商,-150.17191739149985
下午,-279.40559646293104
线,-58.20607203620898
昨天,-277.7156820595171
散户,-464.72726643139333
机构,-314.8848258242348
已经,-242.092566603225
银行,-156.1262329456913
主力,-329.1342334848331
今日,111.93206228504789
创业板,-120.92990337804918
板块,86.56885378822301
转发,16.92252075643613
走势,-203.0915717988047
震荡,24.633529433622357
上证指数,84.39194098711039
收盘,-18.712448576555175
基金,-247.412887950798
知道,-340.18906510235627
应该,-29.76055541888934
尾盘,-232.9021840307339
美股,-251.165069144621
科技,116.23353225387541
今年,-50.797627488509306
开盘,-167.4488734172769
可能,-176.47012730034976
钱,-452.79996876272185
上证,-75.5982787347358
炒股,-193.75585934204952
最后,-205.17034434026175
周一,-165.90184330900684
3月,88.68706808146086
目前,52.64839555715059
证券,11.573895104998542
建筑,115.98838285760772
股份,203.47180428480613
感觉,-328.26225549987953
北向,-286.24291404709726
真的,-356.47251383014463
分析,13.432450510038848
准备,-235.40321925101262
时间,-177.68536922041505
结束,-148.61027511253508
趋势,-38.53509025613346
价值,-21.50319191807563
股指,-225.36139448729705
估计,-380.3856024401278
每天,-378.0259224569777
公司,-16.28930285465242
外围,-241.51609979193375
周五,-137.56363053177415
预测,12.408647238966523
业绩,88.60577196557972
外资,-216.22964484905452
上午,-279.08619202317425
股价,-109.60210840050274
出现,-81.85050743829822
连续,-99.57145252146415
股民,-315.99908744214736
成交量,-233.01970693269755
酒,-317.8392319347863
金融,-66.7286853445512
技术,37.77247088914589
直接,-298.357282386429
马上,-159.41212238600292
主板,-223.3486754430415
最近,-216.2716399507566
看来,-338.44029340146903
左右,-94.06423572090864
周四,-191.0915129235122
看到,-205.10689201525304
期货,-254.16000955264792
交易,-179.79917895828032
全球,-75.78406118768385
目标,128.6816244253228
附近,52.82909830009203
开启,-30.09547888862744
概率,-26.925436924991573
保险,-201.69552626215471
军工,166.00327865004857
黄金,60.072345562073
进场,-170.86119234192745
持续,91.86718196936624
是不是,-358.79004970700737
未来,222.58439755787106
即将,25.365028179379806
影响,-84.7829919091734
有点,-363.14387348845787
底部,128.63501995956506
明日,28.83379910983183
周末,4.84912255273241
需要,35.547670844738605
情况,-202.33136151654082
北上,-232.60224306260545
早上,-291.08088745046064
建议,-93.63576700461272
英国,-177.83800177789055
明显,-245.83596622586242
不到,-280.1755103661999
盘面,-67.21583209806806
历史,8.840618123979539
策略,94.3111077198306
节奏,-288.77845417136695
筹码,-137.51585164295352
以后,-246.13692191399548
启动,205.55086984347975
再次,26.46847489636764
基本,-125.67564223386887
其实,-215.71240193062863
仓位,-147.12001240411325
消息,-54.28125428758892
压力,-16.248140851741084
价格行情,0.32917936217973676
三大,71.270650191026
节后,-2.432107901774657
近期,10.63794845040968
涨跌,-209.8035756553785
经济,78.00805288307208
大幅,-120.43040265338027
最大,-102.12550449774432
美国,-105.86989679415285
预期,161.70924654344884
觉得,-159.37564603684314
年底,-191.77478673303858
每次,-339.4610455731391
碳,153.3172992730053
节前,-171.90318226554632
投资者,-128.81591820567337
方向,19.87920903310919
市值,19.888271690119893
行业,213.29167193485983
之前,-142.62214119329394
世界,-111.99817719773432
过年,-249.287454640821
高点,-141.58542191159256
表现,51.319244931668095
港股,-137.72114284376124
以下,-109.31444942398173
国家,-250.86613519458263
难道,-307.2802323705747
位置,-131.2712885093722
概念,134.13656294474623
空间,90.64823811963998
热点,25.812241904639052
一起,-182.67770895266858
昨日,28.269300099981137
选择,-74.7214305726751
交易日,-17.478244173944404
K,-52.45053403768247
复盘,103.8640485246047
医药,155.90640077524648
9月,20.07711953135788
持仓,-60.722621023603494
周期,175.32929454529875
之后,-76.90806616364932
太多,-358.04641172645137
星期四,-224.46310122986353
重要,83.97226609979504
下周一,-33.39008105199662
盘中,-86.84348209923326
7月,-38.117041120447084
汽车,195.81434694458864
企业,110.4408669776808
6月,42.79400536985435
反转,110.14441699207941
绝对,-80.77767691854592
原因,-198.12489824981134
告诉,-164.37438624071035
认为,-6.842514914339745
形成,-91.72805494972965
提前,-102.3647045251555
坚决,-215.11263028641815
小时,-172.40625608803276
欧美,-220.53708154599923
比较,-37.86826533806459
发展,247.65338619791027
集体,-66.35082641133852
去年,-194.30004265777666
收益,49.65367138686361
年前,-167.5959571184476
东方,244.2210519679133
非常,-52.10368056561765
模式,-198.2420469556909
后面,-185.71703388869832
意思,-441.6876119809666
成交,-405.6709870508297
朋友,-54.87236699352627
是否,17.57236803097328
慢慢,-280.35244598324203
真正,-4.706247625720152
点位,-76.4971712930427
发现,-133.19564952976702
8月,59.54675788615782
差不多,-167.47316383995764
12月,51.95910972164205
两市,-12.66535821030061
星期五,-199.46491075741596
午后,69.29888025051935
数据,3.9368904707623074
价格,65.91577195289392
周二,12.836117741831458
今晚,-110.08610262066367
看着,-365.6016664919989
星期一,-169.6657630847862
大部分,-278.8588583063145
多头,-114.65001669391995
级别,-22.31663993433392
周三,-6.809835336562173
说明,-269.87841324469275
理由,-103.88596246178747
反正,-397.70467987281876
居然,-208.58341649113953
预计,112.87184401370206
指标,-114.80991627009519
国内,-74.81843065856316
集团,222.50892446387184
全面,176.1524209794798
