,Frequency
今天,70734
跌,60752
大盘,58973
涨,55883
明天,32705
指数,32248
股市,26786
大笑,23042
会,22608
A,22535
买,22033
拉,19981
股票,19474
没有,19222
个股,18952
中国,18378
下跌,17693
跳水,17084
走,17024
市场,16961
行情,16944
资金,16941
没,15726
现在,15630
继续,15256
说,15080
券商,14785
高,14703
低,14592
下午,14537
牛市,13817
散户,13714
反弹,13611
牛,13370
线,12405
上涨,12144
大跌,11889
再,11358
想,10986
中,10917
昨天,10704
不要,10694
机构,10686
已经,10544
银行,10510
玩,10321
主力,10263
今日,10239
做,10031
开,9961
创业板,9850
板块,9399
跑,9322
白酒,9253
天天,9227
暴跌,9220
哭,9218
调整,9173
转发,9000
走势,8824
机会,8347
震荡,8338
红,8222
月,8071
不会,8058
上证指数,7927
快,7846
抄底,7776
收盘,7704
亏,7462
破,7453
基金,7142
买入,6880
绿,6871
投资,6843
看看,6834
缺口,6771
知道,6737
真,6706
波,6704
不能,6643
砸,6640
应该,6614
尾盘,6608
抱团,6560
清仓,6537
量,6485
死,6455
赚,6395
突破,6341
卖,6340
太,6287
早,6279
'A,6268
必,6235
前,6143
美股,6142
收,6127
韭菜,6109
茅台,6059
科技,5989
赞,5951
利好,5948
今年,5882
涨停,5723
出,5722
新,5707
关注,5687
开盘,5632
可能,5607
鼓掌,5585
空仓,5533
底,5513
操作,5473
垃圾,5473
回,5434
加油,5418
起来,5370
跌停,5343
拉升,5326
钱,5290
上证,5257
炒股,5256
砸盘,5252
最后,5228
周一,5190
3月,5186
目前,5126
空,5120
补,5113
证券,5074
建筑,4969
赚钱,4919
吃,4881
股份,4863
回调,4858
高开低走,4856
炒,4830
感觉,4829
进,4779
诱,4745
北向,4680
见,4677
跳,4671
票,4659
仓,4630
指,4629
真的,4602
分析,4586
下来,4578
呲,4558
准备,4540
干,4531
出货,4521
时间,4511
希望,4509
微笑,4499
全,4491
杀,4463
成,4460
牙,4439
结束,4396
趋势,4374
价值,4363
股指,4327
风险,4295
放量,4249
估计,4238
先,4140
满仓,4124
赶紧,4063
每天,4054
公司,4047
板,4034
外围,3917
滴汗,3903
狗,3886
周五,3865
缩量,3845
预测,3843
快跑,3820
不涨,3792
业绩,3782
外资,3775
上午,3725
股价,3671
出现,3658
国家队,3645
连续,3603
股民,3596
成交量,3594
里,3581
发,3554
顶,3488
评,3451
深,3445
散,3423
回落,3423
熊市,3400
做空,3385
市,3379
牛逼,3360
跌到,3349
新股,3341
冲高,3334
高位,3329
创新,3320
越,3320
真是,3314
进入,3310
酒,3309
金融,3287
加仓,3224
割,3175
新高,3169
技术,3166
小心,3147
慢,3144
直接,3140
马上,3120
主板,3106
最近,3092
看来,3073
左右,3072
更,3069
长,3061
周四,3050
看到,3040
跌破,3038
期货,3035
交易,3033
全球,3013
怒,2999
投票,2948
注意,2941
发起,2935
追,2934
目标,2925
必须,2924
附近,2924
终于,2905
看好,2898
肯定,2886
献花,2881
等待,2864
开启,2863
a,2850
概率,2847
$,2829
保险,2827
厉害,2810
龙头,2803
支撑,2773
军工,2771
黄金,2756
上市,2752
不了,2748
开低,2741
请,2738
完了,2726
减仓,2717
吸,2711
黑,2707
进场,2705
持续,2689
搞,2688
是不是,2677
卖出,2673
创,2671
未来,2660
即将,2659
手,2658
怕,2655
护盘,2651
影响,2624
有点,2610
底部,2605
割肉,2597
股灾,2584
亏损,2577
明日,2576
接盘,2548
周末,2545
需要,2541
黑色,2514
流出,2488
惨,2478
买了,2468
利空,2460
情况,2444
北上,2433
早上,2425
拜神,2402
建议,2382
拉高,2381
抛,2367
通,2364
表演,2358
英国,2355
开高,2354
向下,2350
证,2346
明显,2340
T,2333
不到,2319
向上,2311
根,2309
盘面,2305
问题,2302
历史,2282
持股,2279
策略,2277
节奏,2277
胜利,2275
筹码,2271
暴涨,2270
不跌,2264
以后,2264
亏钱,2237
强,2236
阴,2234
难,2233
启动,2225
盈利,2217
加,2214
再次,2213
基本,2210
严重,2172
其实,2167
永远,2160
仓位,2159
老乡,2154
只能,2146
完,2145
消息,2141
蚂蚁,2136
无量,2135
行,2131
浪,2129
跌成,2128
买买,2114
不错,2112
压力,2109
到底,2108
价格行情,2089
没人,2082
稳,2081
小散,2079
带,2069
踩,2056
三大,2055
亏了,2049
少,2039
节后,2038
成功,2032
近期,2025
不动,2025
涨跌,2024
经济,2023
庄家,2022
正常,2003
专家,2000
最好,1999
鸡,1997
大幅,1997
持有,1996
老,1986
不好,1984
装,1980
最大,1978
熊,1970
美国,1968
预期,1964
觉得,1961
超,1957
年底,1956
疯狂,1953
回来,1953
每次,1942
碳,1939
回到,1935
节前,1927
近,1924
投资者,1924
方向,1921
面,1916
市值,1912
新能源,1906
横盘,1906
反,1904
注册,1892
看空,1891
癌,1890
行业,1854
之前,1849
漂亮,1828
唱,1822
世界,1821
过年,1820
事,1808
V,1806
神奇,1805
上去,1803
翻红,1798
涨幅,1793
相信,1793
制,1785
头,1785
高点,1784
远离,1783
表现,1782
买进,1779
港股,1774
下去,1772
喝酒,1771
以下,1771
国家,1770
难道,1768
位置,1767
概念,1760
空间,1759
割韭菜,1758
热点,1752
高开,1751
妖,1745
一起,1745
牛年,1742
昨日,1741
休息,1741
选择,1737
K,1735
交易日,1735
复盘,1734
午,1731
杀跌,1728
洗盘,1726
医药,1726
不行,1726
9月,1725
持仓,1722
周期,1715
假,1704
之后,1703
阴跌,1703
受,1702
强势,1700
太多,1698
信,1693
问,1692
抢,1689
动,1684
脱欧,1683
星期四,1681
观望,1677
探底,1674
重要,1673
下周一,1657
阴线,1656
盘中,1651
字,1651
7月,1650
服,1646
汽车,1645
哥,1643
贴,1638
跳空,1631
抄,1629
企业,1622
6月,1618
垃圾股,1617
反转,1614
绝对,1612
告诉,1607
原因,1607
中和,1606
认为,1594
不用,1586
形成,1585
坚决,1576
提前,1576
小时,1574
欧美,1569
比较,1556
找,1556
发展,1554
飞,1553
小盘股,1547
集体,1535
次新股,1531
准,1531
建仓,1526
去年,1523
货,1521
科技股,1516
收益,1513
年前,1511
东方,1509
提示,1501
非常,1500
模式,1499
补缺,1497
不敢,1497
破位,1494
后面,1492
意思,1491
成交,1491
朋友,1486
流入,1484
过节,1482
是否,1481
逢,1480
慢慢,1476
调,1474
红盘,1472
真正,1467
点位,1467
发现,1466
8月,1466
差不多,1464
12月,1463
两市,1459
正,1459
傲,1458
跌幅,1457
星期五,1454
图,1454
敢,1453
笑,1447
午后,1446
数据,1445
上攻,1445
坑,1439
价格,1436
周二,1433
今晚,1427
现,1426
差,1425
危险,1424
看着,1421
越来越,1420
星期一,1417
兴奋,1415
接,1410
大部分,1410
逼,1407
转,1406
多头,1406
所谓,1404
好好,1400
明,1400
疯,1398
退市,1396
级别,1395
低估,1395
反抽,1394
上车,1387
快点,1386
周三,1382
说明,1376
理由,1370
低位,1364
平,1356
反正,1356
居然,1356
爆,1355
弱,1349
减持,1344
预计,1335
坚持,1334
指标,1333
力,1332
没了,1331
庄,1331
喊,1330
砖,1328
SH,1321
大盘股,1319
国内,1319
集团,1317
全面,1314
换,1310
站上,1309
入,1307
毛,1306
进来,1304
脱,1302
超过,1301
骗,1296
口,1295
形态,1293
上升,1291
估值,1289
领,1288
10月,1287
上市公司,1286
得意,1284
独立,1280
赢,1278
进去,1276
完蛋,1274
星期,1274
阳,1272
心,1268
芯片,1266
俏皮,1266
资产,1266
倒,1262
明年,1258
煤炭,1258
捂脸,1254
国,1253
恶心,1252
上周,1252
前期,1251
健康,1251
个人,1250
逃命,1248
11月,1247
资本,1246
重点,1243
准时,1242
参考,1242
消费,1240
大哭,1239
立,1236
刚,1235
报团,1234
退,1231
跌跌,1229
融资,1227
加速,1225
2月,1223
控制,1222
题材,1220
喜欢,1220
变,1219
总是,1219
有望,1217
耐心,1215
财富,1215
走出,1214
讲,1214
话,1213
升,1209
长期,1208
留,1207
后市,1205
够,1202
接下来,1202
翻,1202
至少,1201
成为,1198
迎来,1191
放,1186
能源,1186
恐慌,1185
账户,1184
布局,1180
喝,1178
支持,1174
SZ,1174
春节,1172
稀土,1169
不断,1168
爱,1168
偷笑,1167
崩,1166
参与,1163
低点,1160
情绪,1159
踏空,1150
新的,1139
普,1139
跑路,1138
大神,1135
跟着,1135
科,1135
均线,1134
变盘,1130
到位,1127
阶段,1125
久,1124
算,1122
投,1122
生物,1121
分享,1120
打压,1120
重,1119
涨到,1119
信号,1119
撤,1113
好事,1109
泡沫,1104
短,1104
不够,1104
放心,1102
完美,1102
筹,1102
神,1101
收割,1099
完成,1099
型,1098
明白,1097
低价股,1095
容易,1092
股友,1091
买点,1088
车,1084
止跌,1082
傻,1082
爆发,1080
肉,1072
人气,1072
微,1071
废,1070
背离,1069
入市,1069
1月,1069
环保,1068
被套,1067
上海,1067
企稳,1065
有意思,1063
以前,1057
人民币,1056
期待,1052
关键,1050
赔,1045
价,1044
出逃,1043
利润,1042
正在,1041
困惑,1041
慌,1040
智能,1040
观点,1039
大便,1039
听,1032
国际,1030
记录,1028
万科,1025
请问,1025
发力,1025
周线,1023
特,1022
突然,1020
波动,1020
增长,1018
低价,1015
站,1008
阳线,1007
权重,1005
兄弟们,1005
科创,1005
套牢,1001
小盘,1001
建,1001
色,998
重大,996
发行,994
大盘走势,993
崩盘,991
未,990
最高,987
期指,985
依然,984
晚上,984
数字,982
炒作,981
钢铁,980
效应,979
无语,977
后天,975
疫情,973
超跌,973
解套,971
懂,971
主,969
分化,968
决定,966
站稳,966
发生,962
完全,962
达,961
坏,960
起飞,960
人生,960
计划,959
吹,958
值,957
稳定,956
创业,955
套路,954
不知,951
掉,950
快来,949
彻底,947
再来,946
错,945
下探,945
老子,944
医疗,944
要来,942
正式,942
狠,941
猛,940
祝,940
赌,939
路,939
农业,937
当前,933
获利,929
压,929
高手,929
市盈率,929
回升,928
昨晚,928
逃,928
没量,927
银,926
为主,925
提醒,925
推荐,924
选,924
